"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"270";"04/12/2023";"9";"22";"Roncal / Erronkari";"Isaba - Salazar";"Bº Iriartea, 39";"San Juan Elizondo, Javier";"F00277";"948 475152"
"271";"04/12/2023";"10";"21";"Sarriguren";"Pamplona y comarca";"C/ Badostain, 1";"Fernandez Ejea, Marta";"F00673";"948 804333"
"272";"04/12/2023";"10";"21";"Tudela";"Tudela Este - Tudela Oeste";"C/ El Fronton, 7";"Lopez Lopez, Manuel";"F00573";"948 402606"
"273";"04/12/2023";"21";"10";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"274";"04/12/2023";"21";"9";"Estella-Lizarra";"Estella";"C/ Arieta, 11";"Nagore Solano, Marta";"F00503";"948 555381"
"275";"04/12/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Yanguas y Miranda, 17";"Marfil Garcia, Alberto";"F00205";"948 245030"
"276";"04/12/2023";"21";"10";"Pamplona / Iruña";"Pamplona y comarca";"C/ Irunlarrea, 19. Próx. Virgen del Camino. Mendebaldea";"Menendez Garcia, Graciela";"F00550";"948 198191"
"277";"04/12/2023";"21";"10";"Sarriguren";"Pamplona y comarca";"Avda Erripagaña, 24. Ripagaina. Rotonda LIDL y ALDI";"Rubio Echarte, Santiago";"F00731";"948787058"
"278";"04/12/2023";"21";"10";"Tudela";"Tudela Este - Tudela Oeste";"C/ El Fronton, 7";"Lopez Lopez, Manuel";"F00573";"948 402606"
"279";"04/12/2023";"9";"9";"Altsasu / Alsasua";"Altsasu/Alsasua";"Trva Intxostia, 3";"Urbizu Azazeta, Idoia";"F00481";"948 563450"
"280";"04/12/2023";"9";"9";"Bera";"Lesaka";"C/ Bidasoa, 43";"Lasaga Recondo, Aloña";"F00362";"948 625026"
