"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1488";"UAB00098";"La Parada de Zuriain";"Albergue turístico";"2ª Categoria";"Landa 8 ";"ZURIAIN";"ESTERIBAR ";"Pirineos";"15";"22/04/2015 0:00:00"
"1489";"UCR00973";"La Parra";"Casa rural vivienda";"CRV 1 Estrella";"Mayor 57 ";"LAZAGURRÍA";"LAZAGURRÍA  ";"Zona Media";"13";"10/11/2011 0:00:00"
"1490";"UHS00403";"La Parrilla";"Hostal";"HsG";"Carlos III el Noble 6 ";"TUDELA";"TUDELA  ";"La Ribera";"40";"15/12/1970 0:00:00"
"1491";"UAT01371";"La Pasión";"Apartamento Turístico";"Primera/3 Llaves";"Mercadal 23 3º I";"TUDELA";"TUDELA  ";"La Ribera";"2";"16/01/2023 0:00:00"
"1492";"UHSR0890";"La Pata de la Oca";"Hostal";"HsRural";"Mayor 5 ";"TORRES DEL RÍO";"TORRES DEL RÍO  ";"Zona Media";"11";"01/10/2012 0:00:00"
"1493";"UAB00055";"La Pata de Oca";"Albergue turístico";"2ª del Camino de Santiago";"Mayor 5 ";"TORRES DEL RÍO";"TORRES DEL RÍO  ";"Zona Media";"32";"17/06/2011 0:00:00"
"1494";"UAT00302";"La Patxuela I";"Apartamento Turístico";"Primera/3 Llaves";"San Sebastián 7 ";"OBANOS";"OBANOS  ";"Zona Media";"6";"30/04/2014 0:00:00"
"1495";"UAT00303";"La Patxuela II";"Apartamento Turístico";"Segunda/2 Llaves";"San Sebastián 7 ";"OBANOS";"OBANOS  ";"Zona Media";"6";"30/04/2014 0:00:00"
"1496";"UCR01040";"La Perla Negra";"Casa rural habitaciones";"CRH 1 Estrella";"Carrera 18 ";"AZQUETA";"IGÚZQUIZA ";"Zona Media";"4";"12/11/2014 0:00:00"
"1497";"UCR01165";"La Piña";"Casa rural vivienda";"CRV 3 Estrellas";"Santa Maríaº 8 ";"AIBAR";"AIBAR / OIBAR ";"Zona Media";"4";"27/05/2020 0:00:00"
"1498";"UVT00427";"La Pinta";"Vivienda Turística";"Segunda/2 Llaves";"Las Rosas 11 ";"VILLAFRANCA";"VILLAFRANCA ";"La Ribera";"8";"05/07/2016 0:00:00"
"1499";"UHSR0903";"La Plaza";"Hostal";"HsRural";"Don Rodrigo 39 ";"PUENTE LA REINA";"PUENTE LA REINA / GARES ";"Zona Media";"16";"30/05/2014 0:00:00"
"1500";"UHSR0576";"La Posada";"Hostal";"HsRural";"Única, s/n 0 ";"ORREAGA/RONCESVALLES";"ORREGA / RONCESVALLES ";"Pirineos";"53";"30/07/1985 0:00:00"
"1501";"UPE00889";"La Posada de San Marcial";"Pensión";"P*";"San Marcial 13 ";"TUDELA";"TUDELA  ";"La Ribera";"8";"03/09/2012 0:00:00"
"1502";"UCR00245";"La Posada Nueva";"Casa rural habitaciones";"CRH 2 Estrellas";"San Pedro 0 ";"BIZKARRETA-GERENDIAIN";"ERRO  ";"Pirineos";"16";"14/09/1994 0:00:00"
"1503";"UVT01307";"La Puerta de Viana";"Vivienda Turística";"Tercera/1 Llave";"Eliseo Sainz Ripa 155 ";"VIANA";"VIANA ";"Zona Media";"6";"24/06/2022 0:00:00"
"1504";"UATR0531";"La Raya";"Apartamento Turístico Rural";"Segunda/2 Llaves";"Real  81 ";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"5";"11/02/2017 0:00:00"
"1505";"UPE00694";"La Residencia";"Pensión";"P*";"Bergamín 45 4º Dcha";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"12";"01/07/1998 0:00:00"
"1506";"UPE00721";"La Residencia 2";"Pensión";"P*";"Roncesvalles 2 5º Dcha";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"12";"28/03/2000 0:00:00"
"1507";"upe00740";"La Residencia 3";"Pensión";"P*";"Iturralde y Suit, 1 1º centro 0 ";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"9";"26/12/2001 0:00:00"
"1508";"UCR00675";"La Rinconada";"Casa rural vivienda";"CRV 3 Estrellas";"La Solana 8 ";"AZUELO";"AZUELO  ";"Zona Media";"6";"31/01/2005 0:00:00"
"1509";"UVT01475";"La Robada";"Apartamento Turístico";"Tercera/1 Llave";"Tempranillo 39 ";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"6";"05/06/2023 0:00:00"
"1510";"UHS00953";"La Rúa";"Hostal";"HsG";"La Rua 21 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"9";"29/06/2020 0:00:00"
"1511";"UAT00443";"La Rueda";"Apartamento Turístico";"Segunda/2 Llaves";"Rincón de Racioneros 10 1A";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"4";"03/03/2016 0:00:00"
"1512";"UCR00808";"La Sacristana";"Casa rural vivienda";"CRV 3 Estrellas";"Eguiarte 21 ";"LÁCAR";"VALLE DE YERRI / DEIERRI  ";"Zona Media";"10";"12/07/2007 0:00:00"
